username,artist,album,song,date
ibprivat,Dream Theater,Dream Theater,The Enemy Inside,01 Oct 2013 11:26
ibprivat,Switchfoot,Fading West EP,Who We Are,01 Oct 2013 11:22
ibprivat,Halestorm,Get Lucky,Get Lucky,01 Oct 2013 11:19
ibprivat,Placebo,Loud Like Love,Loud Like Love,01 Oct 2013 11:14
ibprivat,Paul McCartney,New,New,01 Oct 2013 11:11
ibprivat,John Mayer,Paradise Valley,Who You Love,01 Oct 2013 11:07
ibprivat,Kate Bush,The Kick Inside,Wuthering Heights,30 Sep 2013 13:29
ibprivat,Peter Gabriel,Peter Gabriel (Scratch),D.I.Y.,30 Sep 2013 13:26
ibprivat,Emerson Lake & Palmer,Trilogy,From the Beginning,30 Sep 2013 13:22
ibprivat,Simple Minds,100 Movie Hits,Don't You (Forget About Me),30 Sep 2013 13:15
ibprivat,No-Man,Flowermouth,Teardrop Fall,30 Sep 2013 13:10
ibprivat,Rick Wakeman,Ultimate Experience,Catherine Howard,30 Sep 2013 12:51
ibprivat,Marillion,Marbles,Neverland,30 Sep 2013 12:39
ibprivat,Marillion,A Singles Collection,Kayleigh,30 Sep 2013 12:36
ibprivat,Tears for Fears,Tears Roll Down (Greatest Hits 82-92),Everybody Wants to Rule the World,30 Sep 2013 12:31
ibprivat,Emerson Lake & Palmer,Brain Salad Surgery,Still... You Turn Me On,30 Sep 2013 12:28
ibprivat,David Bowie,The Best of David Bowie 1969-74,Changes,30 Sep 2013 12:24
ibprivat,Phil Collins,Hits,You Can't Hurry Love,30 Sep 2013 12:21
ibprivat,Peter Gabriel,So,Don't Give Up,30 Sep 2013 12:15
ibprivat,Adele,,Rolling in the Deep,30 Sep 2013 12:04
ibprivat,Bruce Springsteen,Greatest Hits,Born to Run,30 Sep 2013 11:21
ibprivat,Suzanne Vega,Suzanne Vega,Small Blue Thing,30 Sep 2013 11:06
ibprivat,Crowded House,Time On Earth,Pour Le Monde,30 Sep 2013 11:00
ibprivat,Peter Gabriel,Music from Vanilla Sky,Solsbury Hill,30 Sep 2013 10:56
